tag	EP	MP	LP	SP	LSP
DehaBAV1_0981	4.568886419	4.139118755	5.650228605	0	0
DehaBAV1_1174	41.19136662	36.55309242	42.76269712	30.05698059	50.53423658
DehaBAV1_1281	20.06026693	12.95234382	4.931641268	12.08813237	0
DehaBAV1_0642	2.641387461	3.713576826	8.830955907	0	0
DehaBAV1_0288	0	0	0	0	0
DehaBAV1_0138	1.284999305	3.158396897	6.030995551	0	0
DehaBAV1_0518	22.13054359	17.98259996	16.12680348	26.63690442	0
DehaBAV1_1271	22.34471014	60.46943575	14.8871054	23.21682824	101.0684732
DehaBAV1_0688	26.27109691	30.45198811	119.2438633	44.60575263	0
DehaBAV1_0450	30.48303908	29.48290963	15.36005395	19.18745078	0
DehaBAV1_0015	9.351939389	10.32547909	56.81227036	45.56518914	0
DehaBAV1_1226	18.34693453	13.83448262	15.51297472	23.21682824	0
DehaBAV1_1323	6.282218826	7.837567979	3.027806536	7.099318409	0
DehaBAV1_0405	15.63415821	14.76642307	18.69423844	23.21682824	0
DehaBAV1_0558	24.62915335	34.84224177	20.41999846	23.56696346	101.0684732
DehaBAV1_1107	30.48303908	27.73499234	19.62234293	25.32733268	0
DehaBAV1_0969	5.925274574	5.416511629	2.468964878	0	0
DehaBAV1_0683	210.4543307	267.1984783	800.9607381	327.3749072	0
DehaBAV1_1125	19.84610038	19.94890166	8.781720863	11.47883109	0
DehaBAV1_1118	17.41887947	14.99096303	17.95157001	7.449453634	0
DehaBAV1_0029	59.18135689	47.26941716	48.35793862	39.33433807	0
DehaBAV1_1010	37.6219241	84.35338635	50.26752541	25.32733268	50.53423658
DehaBAV1_0658	101.6577228	74.9599845	37.94156648	79.56057802	101.0684732
DehaBAV1_0357	32.62470458	33.2600169	16.23209848	36.89713294	0
DehaBAV1_0721	85.95217575	64.98804972	98.51441697	101.9089389	50.53423658
DehaBAV1_0065	0.713888503	8.906112549	102.7856766	36.54699772	0
DehaBAV1_0350	49.18691785	42.65898184	29.005852	57.30318629	0
DehaBAV1_1086	12.2074934	13.45349254	5.699463648	23.56696346	0
DehaBAV1_1349	10.13721674	14.25415531	18.54706974	26.98703964	50.53423658
DehaBAV1_0541	96.3749479	125.3337782	49.52485698	99.44829925	0
DehaBAV1_0231	7.28166273	20.75991353	10.17594898	0	0
DehaBAV1_0104	1.356388156	1.200464404	4.22509448	0	0
DehaBAV1_1002	5.282774922	13.1193806	93.52710355	55.47528244	0
DehaBAV1_1080	9.566105939	6.304936551	3.746393873	0	0
DehaBAV1_1289	24.2722091	24.23289864	50.79546106	23.56696346	0
DehaBAV1_0865	16.84776867	11.96763043	9.08917167	4.029377458	0
DehaBAV1_0257	175.9021271	327.6395436	133.8968341	178.150103	50.53423658
DehaBAV1_0333	18.34693453	148.6477675	86.8657081	127.2362716	0
DehaBAV1_0619	6.710551928	5.98559638	6.258305307	8.058754915	0
DehaBAV1_0050	14.06360351	11.35616964	23.04242053	25.67746791	0
DehaBAV1_0087	0.713888503	1.098447247	1.93474074	0	0
DehaBAV1_1225	93.37661618	101.8182118	128.1565696	58.61275802	0
DehaBAV1_0629	35.55164745	27.21692868	35.52130022	32.77678632	0
DehaBAV1_0896	4.140553317	3.34398545	2.868060859	0	0
DehaBAV1_1356	19.13221188	19.14216758	13.95953735	4.029377458	0
DehaBAV1_0044	14.70610316	8.965028733	12.97698219	11.12869587	0
DehaBAV1_0403	2.070276659	2.016825949	0.626405737	0	0
DehaBAV1_1302	38.19303491	70.55151499	485.3669002	77.1233729	50.53423658
DehaBAV1_0899	62.10829976	76.62343834	111.0969824	74.312598	50.53423658
DehaBAV1_0595	100.3727235	82.74875207	82.0388254	98.7480288	50.53423658
DehaBAV1_0550	55.39774783	59.03473385	61.32702304	39.68447329	101.0684732
DehaBAV1_R0051	0.07138885	0.029921593	0.067564078	0	0
DehaBAV1_0145	0.499721952	2.531028657	4.545122261	0	0
DehaBAV1_0331	2.569998611	7.657119911	4.305235532	12.08813237	0
DehaBAV1_0639	60.10941195	64.40218442	64.55805824	67.82258087	0
DehaBAV1_0169	57.53941334	73.98931606	36.91606477	126.1858659	151.6027097
DehaBAV1_1362	15.91971362	13.65992366	34.11449513	7.449453634	0
DehaBAV1_0398	34.90914779	60.49155363	191.2465471	22.25739173	0
DehaBAV1_1143	8.709439736	10.28638572	18.63871491	0	0
DehaBAV1_0326	20.06026693	23.76908153	35.8522957	30.66628187	50.53423658
DehaBAV1_0765	67.24829698	61.08203131	38.7277179	59.76382596	151.6027097
DehaBAV1_0908	9.280550538	8.316705304	7.0198392	4.029377458	0
DehaBAV1_0478	87.52273046	76.63319643	57.00453133	91.13037828	0
DehaBAV1_0208	1.284999305	8.232391892	10.68662845	0	0
DehaBAV1_1151	7.35305158	6.046995959	8.407242404	0	0
DehaBAV1_1218	12.84999305	13.58289298	24.98237691	22.60752696	0
DehaBAV1_0307	26.34248576	24.58522113	27.8687668	11.47883109	50.53423658
DehaBAV1_1156	11.0652718	9.995940272	22.16408752	11.12869587	0
DehaBAV1_R0041	0.07138885	0.341595278	0.067564078	0	0
DehaBAV1_1167	56.11163633	79.05459962	397.1432342	63.79320342	50.53423658
DehaBAV1_1371	15.84832477	14.8879578	12.90312962	7.099318409	0
DehaBAV1_0512	23.62970945	24.13533583	20.80076541	4.029377458	0
