Locus	5_MIN_AVG	15_MIN_AVG	30_MIN_AVG	60_MIN_AVG
b4233	1.3825	1.845	1.41	1.27
b4234	0.9875	1.6725	2.015	1.7225
b4235	0.9075	0.8775	1.1	1.26
b4236	0.9125	0.7225	0.79	1.095
b4237	0.9975	0.92	0.85	1.0625
b4238	0.4875	0.495	0.53	0.55
b4239	0.0675	0.04	0.025	0.1475
b4240	0.18	0.1475	0.145	0.2875
b4241	1.18	2.5925	1.45	1.0275
b4242	1.71	1.48	1.575	1.8425
b4243	1.89	3.4675	2.465	1.5675
b4244	4.0175	8.225	9.59	2.435
b4245	4.4675	10.9225	8.81	1.985
b4247	0.73	0.445	0.385	1.27
b4248	0.9575	0.9675	1.345	1.285
b4249	1.3325	1.245	1.345	1.49
b4250	0.9475	0.99	0.95	0.9725
b4251	1.03	1.095	1.05	1.1675
b4252	1.1725	1.3775	1.935	1.43
b4253	1.275	1.0675	1.055	2.11
b4254	17.5375	3.65	1.19	3.3225
b4255	1.34	1.4525	1.47	1.2525
b4256	1.3825	0.9925	1.46	2.0875
b4257	1.425	2.4125	3.745	2.735
b4258	1.3325	1.37	1.405	1.1175
b4259	1.11	1.2225	1.35	1.2275
b4260	1.0875	1.085	1.22	1.11
b4261	1.1275	0.9075	0.93	0.9575
b4262	1.205	1.135	1.25	1.19
b4263	0.4525	0.6525	0.485	0.4425
b4264	0.7575	0.665	0.655	0.8825
b4265	1.4525	1.205	1.435	1.48
b4266	1.1175	2.12	1.435	1.02
b4267	0.5825	0.2275	0.71	0.32
b4268	0.5	0.5125	0.2	0.465
b4269	0.2725	0.175	0.195	0.3325
b4271	0.9175	0.5575	0.57	1.0025
b4274	1.295	1.83	2.275	2.1925
b4275	1.3525	1.4875	0.84	1.4725
b4575	1.18	1.32	1.425	1.3225
b4277	0.85	0.9375	0.625	1
b4278	1.305	1.78	1.895	1.7225
b4279	1.1175	2.125	0.845	1.265
b4280	1.1275	0.895	1.175	1.8375
b4281	1.3325	1.24	1.59	1.95
b4282	1.9775	1.73	2.185	3.0025
b4623	1.6425	1.6375	0.475	2.3375
b4623	1.355	1.1525	1.425	1.3825
b4286	0.825	0.995	0.82	0.9075
b4287	1.415	1.785	1.435	1.2675
b4288	1.74	1.795	1.515	1.4775
b4289	1.28	1.185	1.16	1.73
b4290	1.87	3.155	2.53	1.91
b4291	1.5625	1.88	1.83	1.6525
b4292	1.735	4.1525	0.965	1.37
b4293	1.705	2.3925	1.335	1.855
b4294	0.9475	0.815	0.935	1.1975
b4295	1.3	1.5975	1.305	0.99
b4296	0.615	0.365	0.23	0.6375
b4297	0.6275	0.4925	0.555	0.7925
b4298	0.3175	0.2225	0	0.2475
b4299	0.2575	0.005	0.115	0.1475
b4300	0.62	0.8675	0.94	0.8625
b4301	0.785	0.5925	0.66	0.6275
b4302	0.7825	0.88	0.69	0.76
b4303	0.955	0.2725	0.15	0.19
b4304	0.5875	0.195	0.14	0.235
b4305	0.24	0.2	0.17	0.18
b4306	0.615	0.9125	0.495	0.4475
b4307	0.4275	0.3075	0.005	0.315
b4308	1.38	4.66	2.61	1.625
b4309	0.1025	0.0025	0	0.1375
b4310	0.925	0.9875	0.705	1.0325
b4311	1.0225	0.555	0.6	0.99
b4312	1.77	1.6025	2.33	2.8675
b4313	0.945	0.93	0.975	1.4475
b4314	1.295	1.6525	1.62	1.5575
b4315	1.7875	3.1075	2.09	1.775
b4316	1.3925	1.295	0.85	2.43
b4317	1.9925	2.1525	2.205	2.8375
b4318	1.465	1.5375	1.325	1.6825
b4319	1.5225	1.5325	1.345	1.1075
b4320	0.75	0.865	0.57	0.805
b4321	0.1	0.075	0.045	0.11
b4322	1.08	1.98	1.685	0.85
b4323	0.4275	0.3425	0.29	0.32
b4324	1.69	1.91	2.055	2.38
b4325	0.4675	0	0	0.625
b4326	1.625	2.285	3.12	2.7525
b4327	1.4775	1.7	1.31	1.81
b4328	1.69	2.3275	2.46	1.9775
b4329	1.3025	1.6975	1.95	1.505
b4330	0.2875	0	0	0.1675
b4331	1.435	1.285	1.195	0.8225
b4332	0.1875	0.26	0.91	0.5275
b4333	1.0225	1.67	0.945	1.3025
b4334	0.97	0.96	0.465	0.9425
b4335	0.86	0.7325	0.93	1.2875
b4336	0.64	0.56	0.45	0.5825
b4337	0.855	0.48	1.045	1.2275
b4338	1.18	1.485	2.085	1.715
b4339	1.03	1.2575	1.28	1.88
b0755	0.9175	0.805	1.06	1.0425
b0756	0.7025	0.635	0.79	1.03
b0757	0.5175	0.445	0.505	0.59
b0758	0.3425	0.5025	0.185	0.3425
b0759	0.48	0.5175	0.665	0.6775
b0760	0.835	0.9625	1.44	1.8675
b0761	1.0725	1.185	1.2	1.275
b0762	1.1875	0.8025	1.18	1.295
b0763	0.6125	0.7275	0.715	0.57
b0764	1	0.9175	0.875	0.67
b0765	0.8975	0.8625	1	0.92
b0766	1.785	2.3075	1.66	1.7675
b0767	0.3175	0.1925	0.18	0.285
b0768	1.02	0.94	1.05	1.1925
b0769	0	0	0	0
b0770	1.3575	1.79	1.585	1.175
b0771	1.345	1.87	1.795	1.5975
b0772	1.34	1.6775	2.015	2.19
b0773	0.6025	0.64	0.615	0.6125
b0774	2.21	6.27	4.005	1.2025
b0775	1.8275	2.4325	1.95	1.2175
b0776	2.035	3.195	3.59	1.8375
b0777	1.525	2.245	2.32	1.1075
b0778	1.8675	3.435	3.335	1.655
b0779	0.9925	1.4375	1.405	0.7525
b0780	1.2075	1.0975	1.1	1.4075
b0781	0.755	0.8525	0.795	0.91
b0782	0.595	0.5375	0.515	0.7975
b0783	0.81	0.7875	0.925	1.0475
b0784	0.795	0.795	0.915	1.1425
b0785	0.9025	0.85	1.09	1.2225
b0786	0.5575	0.6275	0.625	0.615
b0787	1.4275	1.5425	1.345	1.5525
b0788	0.81	1.235	0.865	0.6125
b0789	0.44	0.305	0.47	0.5425
b0790	0.1625	0.1075	0.17	0.4025
b0791	0.215	0.1375	0.135	0.245
b0792	0.8225	0.6625	0.675	0.7325
b0793	1.0325	1.0125	0.885	0.9125
b0794	0.6925	0.7425	0.83	1.01
b0795	0.4775	0.52	0.65	0.7125
b0796	0.4325	0.52	0.63	0.6975
b0797	5.5525	7.3275	12.18	9.0725
b0798	1.0775	1.055	1.245	1.0725
b0799	1.2175	1.275	1.195	1.68
b0800	0.5975	0.8	0.805	0.84
b0801	0.705	0.685	0.895	1.3875
b0802	2.5975	2.375	1.83	1.5375
b0803	0.2675	0.425	0.325	0.28
b0804	0.8975	0.8925	0.295	0.695
b0805	1.1375	1.905	0.595	0.73
b0806	0.425	0.1375	0.14	0.255
b0807	3.7625	8.33	7.9	2.77
b0808	1.0975	1.1975	1.525	1.5325
b0809	1.0375	0.62	0.455	0.2925
b0810	1.25	0.7075	0.47	0.3125
b0811	0.675	0.415	0.245	0.225
b0812	0.2275	0.115	0.195	0.2275
b0813	1.485	1.6825	1.885	1.645
b0814	1.8025	2.325	3.92	6.835
b0815	1.275	0.5625	0.735	1.675
b0816	0.59	1.43	0.505	1.7625
b0817	1.1875	2.1075	1.99	1.525
b0818	1.81	2.31	2.26	1.715
b0819	1.7025	1.865	1.44	1.1775
b0820	1.7375	1.69	1.96	1.7575
b0821	0.8825	1.0875	1.28	2.1325
b0822	2.35	2.4325	3.09	1.9475
b0823	1.3675	1.105	1.08	0.9825
b0824	0	0	0	0
b0825	0.97	1.0125	1.335	1.16
b0826	1.8575	2.79	3.42	2.0375
b0827	1.38	2.0175	1.54	1.1875
b0828	1.5225	1.8675	2.165	1.555
b0829	1.8925	1.8675	2.175	1.715
b0830	1.9175	1.8975	2.155	1.4475
b0831	2.3275	1.8225	2.525	1.9325
b0832	2.5175	2.0125	2.67	2.1175
b0833	4.1675	6.6275	10.14	9.995
b0834	4	7.485	9.235	10.7225
b0835	3.05	4.025	3.75	1.705
b0836	0.5575	0.24	0.175	0.15
b0837	0.46	0.46	0.39	0.355
b0838	0.81	0.9475	0.675	0.7625
b0839	0.3825	0.375	0.45	0.48
b0840	1.77	1.9	1.695	1.37
b0841	1.725	2.005	1.46	1.2725
b0842	1.8525	2.33	2.025	2.0725
b0843	1.5375	1.7025	1.885	1.815
b0844	1.195	1.17	1.39	1.495
b0845	1.5525	1.5275	1.445	0.8375
b0846	0.8825	1.1275	1.2	1.1025
b0847	1.555	1.5025	1.325	1.175
b0848	1.0825	0.875	0.72	1.0525
b0849	1.0925	0.9375	1.405	2.4025
b0850	1.2725	2.42	1.835	0.9975
b0851	1.49	2.2875	2.155	1.18
b0852	1.765	2.49	2.49	1.685
b0853	1.1925	1.4425	1.685	1.4075
b0854	0.85	0.7275	0.66	0.675
b0855	0.8425	0.79	0.755	0.625
b0856	0.8625	0.6	0.615	1.43
b0857	0.9125	0.6725	0.71	0.7825
b0858	1.11	1.355	1.35	1.23
b0859	2.4625	4.6625	4.605	2.7375
b0860	11.905	4.3725	1.815	3.275
b0861	1.9	1.905	1.625	1.695
b0862	1.5725	1.4825	1.215	1.305
b0863	1.5575	1.79	1.045	1.1775
b0864	1.67	1.59	1.07	0.91
b0865	0.3675	0.3425	0.335	0.2375
b0866	0.605	0.5725	0.645	0.8725
b0867	0.7175	0.8075	0.815	0.7975
b0868	1.995	1.88	2.33	1.765
b0869	1.1425	1.065	1.08	1.085
b0870	0.965	0.7775	0.975	1.19
b0871	0.3375	0.1925	0.2	0.26
b0872	1.4725	2.5475	2.63	1.34
b0873	1.325	1.71	1.775	1.1625
b0874	1.305	0.91	0.865	1.195
b0875	0.595	0.4925	0.56	0.4825
b0876	0.8775	1.105	0.95	0.8525
b0877	1.7725	1.705	1.205	1.2875
b0878	0.835	0.835	0.765	0.805
b0879	1.065	0.945	1.345	1.6725
b0880	0.12	0.0425	0.025	0.0375
b0881	0.42	0.3575	0.49	0.685
b0882	0.635	0.455	0.665	0.8375
b0884	2.5425	2.8525	2.915	2.955
b0885	1.49	1.1275	1.305	1.22
b0886	2.35	3.1975	2.395	1.8375
b0887	1.8775	2.1825	1.79	1.28
b0888	1.18	2.2725	1.345	1.5775
b0889	1.11	0.825	1.055	1.5875
b0890	1.19	1.0175	1.055	1.515
b0891	1.0075	0.9975	0.99	1.54
b0892	1.175	1.2325	1.555	2.045
b0893	1.3175	0.9575	1.16	1.1025
b0894	1.29	1.51	0.935	0.7375
b0895	1.1225	0.665	1.02	1.4775
b0896	1.1675	0.97	1.135	1.215
b0897	0.385	0.1825	0.13	0.125
b0898	0.365	0.2375	0.315	0.4075
b0899	0.2625	0.0925	0.14	0.2625
b0900	1.135	1.2275	1.335	1.865
b0901	1.7	2.9	2.415	2.9425
b0902	1.1425	1.6625	1.265	1.5725
b0903	0.6325	0.535	0.52	0.6
b0904	0.62	0.5425	0.51	0.5775
b0905	1.925	1.9575	2.54	3.3925
b0906	0.435	0.4425	0.48	0.485
b0907	1.4975	1.48	1.71	1.9475
b0908	1.0775	1.0425	1.475	1.7825
b0909	1.1025	0.8975	1.04	1.325
b0910	1.62	1.72	1.565	0.985
b0911	1.6125	1.5175	1.89	2.05
b0912	0.3575	0.2125	0.25	0.4775
b0913	1.4825	1.97	2.21	1.7125
b0914	1.76	1.7925	1.89	1.7675
b0915	2.75	2.3325	2.455	2.5525
b0916	1.485	1.7225	1.765	1.4875
b0917	1.86	1.4575	1.36	1.305
b0918	1.8075	1.9925	1.77	1.55
b0919	0.785	0.8375	0.84	0.5875
b0920	1.3325	1.8	1.805	1.2925
b0921	0.7575	0.865	0.925	0.71
b0922	0.835	0.83	0.94	0.955
b0923	0.8125	0.93	0.795	0.8
b0924	0.9525	1.195	0.865	0.87
b0925	0.7825	1	1.14	1.2375
b0926	0.7225	0.9475	0.795	0.7675
b0927	0.94	1.4375	1.37	1.265
b0928	1.26	1.24	1.095	0.9125
b0929	0.465	0.6225	0.45	0.4325
b0930	1.2875	1.2575	1.49	1.885
b0931	1.615	1.6975	1.885	1.4575
b0932	0.5125	0.425	0.465	0.6175
b0933	1.105	1.425	1.205	0.98
b0934	1.5975	1.5575	2.115	1.0275
b0935	1.75	2.7125	3.615	1.6025
b0936	0.57	1.0675	0.845	0
b0937	2.7025	4.2	3.7	1.6175
b0938	1.6425	3.4525	3.7	2.365
b0939	0.32	0	0	0
b0940	1.2775	0.895	0.725	1.8825
b0941	0.8875	1.345	1.315	1.605
b0942	0.965	1.35	0.79	1.79
b0943	1.335	1.3425	1.26	1.3125
b0944	1.535	2.9725	1.975	1.485
b0945	5.39	12.2925	12.73	3.2825
b0946	0.8475	0.9625	0.6	0.8425
b0947	0.955	0.8775	1.44	2.145
b0948	2.0225	2.13	1.745	0.955
b0949	1.4825	2.255	1.8	1.4825
b0950	1.2475	1.845	1.945	1.705
b0951	1.0425	1.9025	1.72	1.4475
b0952	1.065	1.185	1.345	1.4675
b0953	0.605	0.33	0.33	0.11
b0954	0.7875	0.7325	0.865	1.305
b0955	1.555	1.995	1.485	1.345
b0956	1.24	1.19	1.57	1.3775
b0957	0.8025	1.3725	1.13	0.855
b0958	0.82	0.7675	0.82	0.63
b0959	0.9425	0.95	0.565	1.285
b0960	2.6325	2.76	3.145	3.305
b0961	1.6375	1.6525	1.405	1.245
b0962	1.395	1.61	1.38	1.355
b0963	0.5	0.3725	0.495	0.8575
b0964	0.4125	0.5775	0.49	0.3375
b0965	0.7925	0.9025	0.735	0.555
b0966	0.64	0.6675	0.525	0.395
b0967	2.07	3.275	2.425	1.8975
b0968	0.5775	0.715	0.65	0.7725
b0969	1.6	1.905	2.03	2.4825
b0970	0.705	0.6975	0.58	0.5775
b0972	1.045	1.2825	0.77	0.91
b0973	0.34	0.28	0	0.2725
b0974	1.0325	0.6375	0.74	0.6925
b0975	1.405	2.095	1.975	1.1225
b0976	1.43	1.8525	2.255	1.6425
b0977	1.305	1.4475	1.435	1.2625
b0978	1.0175	0.5	0.295	0.75
b0979	0.7225	1.08	0.785	1.0875
b0980	0.785	0.65	0.525	0.5975
b0981	0.8975	0.7475	0.78	0.96
b0982	0.935	1.18	1.105	0.7925
b0983	1.37	2.035	1.77	0.8975
b0984	1.2875	2.79	1.505	1.0125
b0985	1.7625	1.8875	1.65	1.4925
b0986	1.5375	1.355	1.495	1.555
b0987	1.315	3.245	2.985	1.8725
b0988	1.215	1.4875	1.59	1.5875
b0989	4.44	7.5625	6.47	5.1725
b0990	2.045	3.04	4.245	6.24
b3693	0.495	0.3075	0.075	0.435
b3694	0.56	0.67	0.6	0.66
b4479	0.6125	0.695	0.645	0.8575
b3696	1.1725	1.195	1.375	2.15
b3697	1.1075	1.0675	1.21	1.535
b3698	0.7275	1.17	0.83	0.8225
b3699	1.375	1.755	1.58	2.015
b3700	1.56	2.255	2.545	2.18
b3701	1.125	1.065	1.025	1.0825
b3702	1.0075	1.1975	1.145	1.11
b3704	1.24	1.46	1.345	1.4825
b3705	1.1875	1.3375	1.22	1.23
b3706	1.2075	1.115	1.855	2.535
b3708	0.2675	0.07	0.085	0.1025
b3709	0.25	0.1825	0.1	0.1875
b3710	1.3025	1.12	0.76	1.56
b3711	1.65	1.7375	1.625	1.7825
b3712	1.05	1.575	1.81	1.905
b3713	0.7125	0.6775	0.74	0.8775
b3714	1.825	1.835	2.01	2.015
b3715	1.73	1.5975	2.115	1.985
b3716	1.255	1.2225	1.235	1.0975
b3717	1.45	0.995	1.325	2.375
b3718	0.9675	0.9175	1.005	1.44
b3719	0.9925	1.065	0.345	0.9325
b3720	0.6375	0	0.59	0.6925
b3721	0.9275	0.375	0.395	1.765
b3722	0.3875	0	0	0
b3723	0.395	0.0975	0.095	0.36
b3724	1.995	1.43	1.815	1.065
b3725	2.795	1.68	1.975	1.0975
b3726	3.3675	1.71	2.445	0.9475
b3727	2.995	1.7575	2.8	0.8875
b3728	3.1075	2.1075	3.065	1.445
b3729	0.9025	0.98	1.315	1.59
b3730	1.0375	1.18	1.545	1.945
b3731	0.9425	0.7125	0.685	0.895
b3732	1.065	1.14	0.85	1.0625
b3733	0.8275	0.725	0.71	0.8925
b3734	0.8125	0.7225	0.705	0.7375
b3735	0.88	1.0675	0.94	0.845
b3736	0.7175	0.745	0.765	0.8975
b3737	0.71	0.835	0.68	0.93
b3738	0.8525	0.965	1.27	1.4325
b3739	0.63	0.61	0.55	0.7025
b3740	1.6375	1.9	2.205	2.435
b3741	1.615	1.625	1.505	1.5125
b3742	2.2425	2.9975	2.38	2.1275
b3743	1.0625	0.7025	0.5	1.3625
b3744	9.0075	4.75	4.06	4.3825
b3745	0.8475	0.89	0.98	1.2275
b3746	1.1125	1.1375	1.27	1.3625
b3747	0.9225	0.8675	0.9	1.1825
b3748	0.01	0.0175	0.025	0.155
b3749	0.0175	0.025	0	0.215
b3750	0.3025	0.1025	0.095	0.1525
b3751	0.465	0.2225	0.145	0.2175
b3752	0.385	0.375	0.48	0.5275
b3753	0.6725	0.89	0.65	0.5975
b3754	1.4	1.3475	1.75	2.135
b3755	0.9	1.1325	1.025	1.4125
b4480	1.8225	1.4225	2.1	2.2075
b4480	1.6575	1.54	1.5	1.635
b3764	1.1475	1.3325	1.25	1.265
b3765	0.935	0.825	0.755	1.6975
b4488	1.18	0.965	1.585	1.3175
b3769	2.105	3.47	6.52	3.2925
b3770	1.8225	1.7875	3.075	2.04
b3771	2.34	1.48	3.05	2.4525
b3772	1.9	1.22	2.825	2.1075
b3773	1.365	1.6975	1.74	1.4375
b3774	0.785	0.76	1.32	1.54
b3775	1.6425	2.4825	2.25	1.855
b3777	1.32	0.94	1.265	2.3075
b3777	1.24	0.9775	1.265	2.025
b3778	1.445	2.385	2.015	1.7625
b3779	1.665	1.755	2	1.82
b3780	1.06	0.89	0.995	1.335
b3781	1.2325	0.9225	1.145	1.37
b3783	1.1675	0.8125	1.545	2.35
b3784	1.13	1.2925	1.445	1.715
b3785	1.1875	0.93	1.19	1.6725
b3786	1.42	2.0375	1.705	1.9825
b3787	1.4575	1.4975	1.99	2.365
b3788	1.4825	2.005	1.87	2.505
b3789	1.6725	2.21	3.235	2.92
b3790	1.1825	1.4175	1.815	2.5925
b3791	1.22	1.5025	1.73	2.2
b3792	0.835	1.1025	1.325	1.6075
b4404	0.8575	0.7175	0.83	1.3025
b4481	1.1625	1.4225	1.58	2.31
b3793	0.725	0.82	0.845	1.4925
b3794	1.0275	1.1525	1.285	2.025
b3795	0.24	0.315	0.375	0.5625
b3800	0.73	0.9675	0.905	0.8025
b3801	0.805	0.63	0.625	1.32
b3802	0.84	0.7725	0.655	1.0075
b3803	1.03	1.075	0.91	0.8125
b3804	0.7675	0.77	0.77	0.8025
b3805	0.545	0.505	0.455	0.535
b3806	1.9825	1.9225	1.39	1.8975
b3807	1.235	1.385	1.355	1.8
b3808	1.1625	1.21	1.26	2.07
b3809	0.8525	0.9775	1.17	1.185
b3810	0.8575	0.775	1.035	1.365
b3811	1.33	1.185	1.365	1.3975
b3812	1.205	1.3975	1.63	1.565
b3813	1.4375	1.55	1.615	1.65
b4482	1.35	1.945	2.375	2.7675
b3815	1.5875	1.8525	1.145	2.975
b3816	0.7825	0.82	0.85	0.9475
b3817	0.76	0.66	0.88	1.3025
b3818	0.525	0	0	1.7
b3819	0.665	1.0275	1.43	2.475
b3820	0.3775	0.5475	0.865	1.1925
b3821	1.425	1.935	1.57	1.395
b3822	2.18	3.0625	2.7	2.7225
b2797	0.785	0.705	1	2.5225
b2798	1.3375	1.3625	1.245	1.4925
b2799	0.1675	0.0925	0.06	0.0825
b2800	0.2075	0.2425	0.2	0.18
b2801	0	0.005	0.575	0.0375
b2802	1.03	0.9575	0.83	0.7
b2803	1.0075	0.8075	0.77	0.84
b2804	0.9775	1.0725	0.985	0.88
b2805	0.22	0.21	0.245	0.3325
b2806	1.7175	1.2975	1.94	2.6925
b2807	1	1.155	1.14	1.3425
b2808	1.0475	1.2	1.445	1.4925
b2809	0.8275	0.4625	0.355	0.4575
b2810	2.005	2.095	2.11	2.1325
b2811	1.2275	1.94	1.6	1.3775
b2812	1.32	1.405	2.115	2.585
b2813	1.1525	1.4825	1.34	1.3175
b2817	2.44	1.9425	1.705	2.0475
b2818	10.62	2.5	1.13	2.56
b2819	1.82	2.5825	1.955	1.375
b2820	2.355	2.7875	2.105	1.2175
b2821	1.7475	1.195	0.73	0.82
b2822	1.14	1.015	1.145	1.195
b2823	0.895	0.9375	0.825	0.7575
b2824	1.155	1.2025	1.1	0.9675
b2825	0.815	0.7075	0.18	0.7325
b2826	0.6725	1.0275	1.1	0.6975
b2827	1.2575	1.34	1.325	1.32
b2828	1.075	1.055	1.24	1.1025
b2829	1.3325	1.6025	1.43	1.2
b2830	1.2025	1.1225	1.055	1.0825
b2831	1.575	1.695	1.675	1.23
b2832	1.83	1.42	1.695	2.4475
b2833	0.3925	0.3225	0.42	0.6525
b2834	0.5475	0.4175	0.535	0.945
b2835	0.9025	0.865	1.17	1.345
b2836	0.455	0.4275	0.565	0.6725
b2837	0.965	1.1775	0.935	0.9825
b2838	1.66	1.7175	2.5	3.0925
b2839	1.3125	1.49	1.495	1.2575
b2840	0.865	0.9375	1.02	0.895
b2841	1.2525	1.4575	1.305	1.0875
b2842	0.79	0.82	0.915	0.76
b2843	0.76	0.11	0.33	0.5425
b2844	0.045	0.0475	0.065	0.115
b2845	0.865	0.64	0.86	1.5175
b2846	1.0725	0.875	1.185	2.55
b2847	1.4125	0.6425	0.605	1.2725
b2848	2.25	3.065	2.635	2.6925
b2849	1.3375	0.445	0.845	2.585
b2850	0.6225	0.41	0	0.9075
b2851	1.04	1.4425	1	1.385
b2852	1.365	1.075	1.17	3.12
b2853	0.645	0.4025	0.285	1.42
b2854	0.9875	0	0.88	0.915
b2855	1.6725	2.6825	2.175	2.0225
b2856	1.3475	3.29	1.455	1.16
b2858	1.175	0.4875	1	1.7
b2858	1.81	2.22	2.27	2.5925
b2859	1.15	0.585	1.455	1.2375
b2863	0.8725	0.5575	0.49	1.3875
b2863	0.795	0.65	0.64	1.1225
b2865	1.265	1.4275	1.23	1.155
b2866	0.125	0.175	0.035	0.7325
b2867	0.4925	0.275	0.145	0.4625
b2868	0.64	0.4975	0.22	0.4925
b2869	0.3975	0.21	0.225	0.395
b2870	0	0	0	0
b2871	0.5525	0.445	0.32	0.6125
b2872	0.9575	0.7225	0.755	1.3075
b2873	0.9325	0	0	0
b2874	1.0325	0.7725	0.6	0.7325
b2875	0.4675	0.6	0.685	0.62
b2876	0.1575	0.165	0.125	0.085
b2877	0.2575	0.1375	0.08	0.105
b2878	0.5225	0	0	0.4025
b2879	0.525	0	0	0.31
b2880	0.615	0.2725	0	0.3775
b2881	1.27	1.1725	1.635	1.98
b2882	1.76	1.8625	2.09	3.4425
b2883	0.2375	0.0025	0	0.26
b2884	0.9275	0.6125	0.78	0.9975
b4464	0.58	0.3075	0.285	0.6975
b2886	0.545	0.695	0.69	0.7825
b2887	0.635	0.6925	0.375	0.575
b2888	0.5125	0.15	1.315	0.305
b2889	0.61	0.7225	0.68	0.565
b2890	1.525	1.6125	2.185	1.9075
b2891	1.6925	2.215	2.33	1.92
b2892	1.9275	1.9175	2.285	1.795
b2893	1.2025	1.455	1.45	1.3825
b2894	1.07	1.405	0.96	0.9375
b2895	1.35	1.5925	1.125	1.26
b2896	1.1875	1.81	1.555	1.1725
b2897	1.155	1.63	1.155	1.26
b2898	0.6775	0.7375	0.64	0.6225
b2899	0.3225	0.3475	0.515	0.47
b2900	1.3275	1.5375	1.59	2.0125
b2901	1.5025	1.33	1.62	1.3475
b2902	1.1075	2.7225	2.82	6.175
b2903	1.8025	3.3875	2.11	2.6725
b2904	1.15	2.66	1.52	3.4525
b2905	2.1025	3.43	1.695	3.6175
b2906	1.585	1.84	2.085	1.4375
b2907	1.4225	1.9825	2.225	1.115
b2908	1.51	1.8375	1.375	0.945
b2909	1.6875	2.3975	1.63	1.325
b2910	0.7625	0.4775	0.605	0.8425
b2912	1.2275	1.54	1.62	1.4975
b2913	1.855	1.8	1.945	2.3125
b2914	1.0425	1.335	1.01	0.94
b2915	0.9775	1.44	0.91	0.93
b2916	1.61	1.0725	1.05	1.575
b2917	0.7025	0.675	0.315	0.5075
b2918	0	0.0025	0	0.5025
b2919	0.695	0.13	0.28	0.6225
b2920	0.7375	0.6575	0.69	1.03
b2921	1.0525	1.1325	1.37	1.0925
b1124	1.485	1.6075	1.795	1.57
b1125	1.92	1.6675	1.875	2.2225
b1126	1.7575	1.955	2.205	2.5775
b1127	0.625	0.455	0.655	0.8775
b1128	1.14	0.9975	1.015	0.765
b1129	1.1475	1.285	1.315	1.1125
b1130	0.975	0.975	1.03	0.815
b1131	1.9225	2.535	2.72	1.65
b1132	2.0925	3.3575	2.23	1.3975
b1133	1.6525	2.61	1.58	1.185
b1134	1.9575	3.035	1.975	1.2725
b1135	2.155	4.2825	2.775	1.15
b1136	0.6625	0.575	1.02	0.785
b1137	0.825	0.9175	1.135	2.01
b1138	0.475	0.67	0.64	0.5475
b1139	0.8575	1.0375	1.25	1.3875
b1140	1.5975	1.555	2.01	2.7375
b1141	1.095	1.3325	1.125	1.6525
b1142	2.385	1.545	1.01	1.9875
b1143	1.1375	0.5775	0.875	1.43
b1144	1.6625	2.225	2.13	1.1575
b1145	1.2875	1.265	1.6	1.59
b1146	1.92	2.4975	3.55	1.9975
b1147	0.7	0.42	0.56	0.925
b1148	1.3975	3.38	2.155	1.345
b1149	1.2075	1.4425	1.24	0.9975
b1150	0.625	0.7375	0.555	0.64
b1151	1.2725	1.22	1.005	1.1
b1152	1.4225	0.7275	0.445	1.2625
b1153	0.8975	0.79	0.6	1.3225
b1154	1.4425	1.535	1.465	1.42
b1155	1.235	1.285	1.28	1.065
b1156	1.1125	0.925	0.725	1.1525
b1157	0.6025	0	0	0.6475
b1158	1.1225	0.47	1.115	0.7625
b1159	0.7825	0.2275	0.055	0.7575
b1160	2.5525	1.76	2.47	4.595
b1161	1.6475	3.225	4.67	5.705
b1162	1.2625	1.7425	0.99	0.9875
b1163	0.9975	0.8675	1.07	1.3675
b1164	0.72	0.9225	0.795	1.1575
b1165	0.565	0.4875	0.725	0.96
b1166	0.7225	0.7825	0.605	0.685
b1167	0.94	1.28	0.66	1.135
b1168	0.9175	0.985	1.195	2.06
b4491	1.9925	2.0475	1.95	3.8775
b4491	1.18	1.7125	1.395	1.0575
b1171	1.495	3.4325	1.95	2.15
b1172	1.83	4.815	2.435	2.525
b1173	0.895	0.9425	0.945	0.865
b1174	0.8375	0.5275	0.79	1.17
b1175	0.62	0.605	0.6	0.9225
b1176	1.095	1.0375	1.01	0.9525
b1177	0.8025	0.9125	0.935	1.305
b1178	1.17	1.1525	1.19	1.205
b1179	1.0425	1.1675	1.34	1.595
b1180	0.7975	0.65	0.69	0.64
b1181	1.395	1.695	2.365	2.2825
b1182	0.4225	0.1425	0.63	0.8175
b1183	1.28	1.9075	1.545	1.5475
b1184	1.2875	2	1.91	1.685
b1185	1.18	1.01	1.165	1.11
b1186	1.4475	2.0475	1.86	1.2175
b1187	0.6475	0.795	0.72	0.6875
b1188	0.1175	0.075	0.135	0.15
b1189	0.21	0.1175	0.165	0.2125
b1190	0.2525	0.2025	0.345	0.2725
b1191	1.41	1.975	1.735	1.3475
b1192	1.125	1.1	1.06	1.31
b1193	1.38	2.01	1.87	1.4725
b1194	0.6825	1.2875	0.45	0.2625
b1195	0.1	0.09	0.125	0.1525
b1196	0.7	0.2075	0.205	1.6525
b1197	0.3575	0.3775	0.28	0.3525
b1198	0.7075	0.4925	0.72	1.25
b1199	1.2675	1.175	1.51	2.775
b1200	1.09	1.205	1.02	2.6875
b1201	1.1175	1.1825	1.025	1.3375
b1202	1.3125	1.49	1.785	1.9125
b1203	1.9625	2.46	2.4	1.64
b1204	1.475	2.7475	2.125	1.125
