Locus	5_MIN_AVG	15_MIN_AVG	30_MIN_AVG	60_MIN_AVG
b2212	1.1175	1.6425	1.625	1.0775
b2213	1.5525	2.065	1.765	1.26
b2214	2.6525	4.29	3.565	2.4825
b2215	0.7175	0.6725	0.55	0.785
b2216	1.18	1.5075	1.58	1.1675
b2217	1.1975	0.9825	1.345	1.1275
b2218	1.195	1.0725	1.135	1.2525
b2219	0.3725	0.32	0.065	0.2325
b2220	0.54	0.38	0.405	0.48
b2221	1.0525	0.64	0.66	0.295
b2222	0	0.0025	0	0
b2223	0	0	0	0
b2224	0.5825	0.5925	0.805	0.755
b2225	1.25	1.0925	1.115	1.26
b2226	0.7675	1.3	0.5	0.8
b4500	1.18	0.875	0.565	1.165
b4500	1.3125	1.445	0.5	1.005
b2229	1.32	1.7525	2.315	1.5325
b2235	0.985	0.545	0.69	0.9075
b2236	1.2975	0.8975	1.38	1.715
b2237	0.815	0.7825	0.865	0.955
b2238	1.5875	0.7125	0.91	0.755
b2239	0.6225	0.715	0.775	0.7175
b2240	0.24	0.375	0.265	0.44
b2241	1.4875	0.785	0.755	1.8225
b2242	0.96	1.2875	1.15	0.8225
b2243	0.885	0	0	0.8075
b2244	1.27	0.9975	0.755	0.6875
b2245	0.94	0.74	1.005	1.0925
b2246	0.99	0.365	0.4	0.68
b2247	0.4875	0.0975	0.035	0.115
b2248	0.4675	0.4675	0.005	0.355
b2249	0.9925	0.8875	1	1.12
b2250	2.34	3.6825	4.795	2.755
b2251	0.895	0.6925	1.045	3.215
b2252	1.515	1.18	1.22	1.505
b2253	2.265	2.495	1.365	0.5175
b2254	1.785	2.2975	1.31	0.67
b2255	1.0825	0.99	0.58	0.5725
b2256	1.515	1.7125	1.02	0.8175
b2257	0.395	0.3775	0.355	0.3075
b2258	0.9425	0.655	0.43	0.725
b2259	0.4725	0.3775	0.315	0.4875
b2260	1.5825	2.0725	2.13	2.395
b2261	1.1075	1.4	1.35	1.77
b2262	1.0975	1.1625	1.13	1.47
b2263	1.185	1.4475	1.68	2.415
b2264	1.205	1.1325	1.305	1.39
b2265	1.385	1.99	2.07	1.56
b2267	0.76	0.805	0.59	0.84
b2268	1.02	1.18	1.125	0.83
b2272	0.65	0.2125	0	0.195
b2273	1.5525	0.7975	1.1	1.855
b2274	0.9175	0.0025	0	1.35
b2275	0.76	0.575	0.555	1.0825
b2276	1.075	0.2725	0.465	0.8475
b2277	1.0675	0.31	0.49	0.6675
b2278	1.1625	0.31	0.515	0.6375
b2279	1.08	0.28	0.42	0.7475
b0991	1.6175	1.565	2.13	3.285
b0992	1.1725	1.2925	1.49	1.655
b0993	1.2325	2.42	1.45	1.1125
b0994	1.065	0.145	0.185	0.4725
b0995	1.4425	1.855	1.72	1.06
b0996	0.2625	0.805	0	0.48
b0997	1.395	1.5625	1.56	0.8725
b0998	1.8525	1.8075	2.175	2.595
b1003	0.515	0.19	0.17	0.28
b1004	0.4	0.225	0.165	0.165
b1005	0.5025	0.455	0.42	0.5275
b1006	0.8125	0.91	1.01	1.0325
b1007	1.215	1.725	1.395	0.695
b1008	0.905	0.925	0.375	0.765
b1009	1.2425	1.025	0.55	1.01
b1010	1.3075	1.065	0.955	0.8975
b1011	1.4775	2.04	1.995	1.6175
b1012	0	0	0	0.2175
b1013	0.8925	1.6825	2.01	1.7075
b1014	0.4075	0.3925	0.53	0.91
b1015	0.68	0.76	0.85	0.7125
b4490	0.9075	1.275	0.9	0.94
b1018	1.7025	2.965	2.18	1.775
b1019	1.415	2.5725	1.95	2.2275
b1020	0.2675	0.615	0.36	0.4725
b1021	2.0475	2.2825	2.22	2.59
b1022	0.605	0	0.71	0.7275
